SNO,Category,States/UTs,Percentage of urban households living in katcha houses,"Deaths due to road accidents in urban areas (per 1,00,000 population) ",Percentage of wards with 100% door to door waste collection (SBM(U)),Percentage of individual household toilets constructed against target (SBM(U)),Percentage of  MSW processed to the total MSW generated (SBM(U)),Percentage of wards with 100% source segregation (SBM(U)),Installed sewage treatment capacity as a percentage of sewage generated in urban areas ,Percentage of urban households with drainage facility
1,State,Andhra Pradesh,0.7,16.113744075829384,100,126,63.670411985018724,96.80258140217073,18.640089418777944,89.69999999999999
2,State,Arunachal Pradesh,8.9,11.764705882352942,82.43243243243244,80,23.974763406940063,48.64864864864865,0,59.4
3,State,Assam,0.4,24.702037677816225,87.91092258748674,97,63.244729605866176,42.735949098621425,0.10763454317897372,58.7
4,State,Bihar,1.1,21.629506147113982,99.43737044714244,103,58.27464788732394,52.79834172342316,5.620608899297424,87.8
5,State,Chhattisgarh,0.7,18.16724552497996,100,108,92.96969696969697,100,6.567992599444958,76.9
6,State,Goa,0,5.866425992779783,100,94.79,70,79.72350230414746,80.4848484848485,95.6
7,State,Gujarat,1.3,6.073102155576382,100,138,86.6967926815827,83.8959212376934,56.888675213675214,92.6
8,State,Haryana,0.2,15.430757193775536,93.94141145139814,93,49.948927477017364,64.98002663115847,115.75965130759651,97.4
9,State,Himachal Pradesh,0.2,43.04812834224599,100,59,98.14323607427056,100,98.424,92.4
10,State,Jharkhand,0.8,18.35607875820398,96.24463519313305,135,63.976164680390035,85.62231759656652,13.013860013860013,75.1
11,State,Karnataka,0.5,12.174840085287846,100,112,64.05,65.33106435643565,31.922879776328056,93.7
12,State,Kerala,0.2,6.403379091869059,85.46380090497738,126,74.96290801186943,100,4.286896551724138,75.1
13,State,Madhya Pradesh,0.8,17.427385892116185,100,112,89.95952677459526,98.45397048489107,15.468912626677621,89.7
14,State,Maharashtra,0.2,7.797046703296703,90.00273149412729,112,82.54980079681275,86.67030865883638,69.88726761781237,94.8
15,State,Manipur,0.7,3.9836567926455566,100,86,69.72972972972973,67.64705882352942,18,33.300000000000004
16,State,Meghalaya,0,5.580693815987934,61.40350877192983,30,65.11627906976744,70.17543859649122,0,75.8
17,State,Mizoram,1.3,5.092592592592593,100,18,80.08474576271186,87.12121212121212,9.803921568627452,52
18,State,Nagaland,0.7,1.1441647597254005,63.24786324786324,68,67.86703601108033,32.47863247863248,0,59.5
19,State,Odisha,2.8,25.997316091252895,100,104,80.01902949571836,90.01976284584981,29.48546739984289,65.7
20,State,Punjab,0.1,14.647422680412372,99.51969260326608,102,76.0223953261928,93.40377841818764,88.79428873611846,97
21,State,Rajasthan,0.3,13.522323192414067,100,102,77,82.00037112636853,29.597941460276616,89.1
22,State,Sikkim,1.2,8.695652173913045,100,67,70.66666666666667,94.33962264150944,92.67857142857142,89.3
23,State,Tamil Nadu,0.8,9.16508298492335,97.00327766505384,116,69.99416985165512,84.99297643202746,25.6771455517133,86
24,State,Telangana,0.3,17.369238117984235,100,92,77.99113737075332,53.151143335192415,31.108195397658456,96.1
25,State,Tripura,2.2,5.685856432125089,96.12903225806451,101,62.8140703517588,88.70967741935483,4.571428571428571,44.4
26,State,Uttar Pradesh,1.4,18.184557438794727,99.1838094444907,107,68.26241134751773,74.32331140168236,41.19468807906115,92.1
27,State,Uttarakhand,0.3,9.968602825745684,100,75,56.497864551555836,78.65546218487395,26.882770870337474,97.4
28,State,West Bengal,1.7,5.7260489969924375,86.01089176310414,55,9.090909090909092,18.992511912865893,10.51555723175561,68
29,Union Territory,Andaman and Nicobar Islands,0,4.166666666666667,100,100,95.55555555555556,100,0,88.4
30,Union Territory,Chandigarh,0,8.31918505942275,100,143,91.90871369294605,96.15384615384616,123.56684491978609,98.9
31,Union Territory,Dadra and Nagar Haveli,0,2.2284122562674096,100,98,100,100,44.827586206896555,82.1
32,Union Territory,Daman and Diu,0,2.313624678663239,100,178,75,100,43.06060606060606,94.5
33,Union Territory,Delhi,0.8,7.082152974504249,100,15,55.23809523809524,20.068027210884352,70.22805429864253,97.49999999999999
34,Union Territory,Jammu and Kashmir,0.4,6.916794282797346,85.0909090909091,84,16.252518468770987,12.454545454545455,21.426731078904993,94.39999999999999
35,Union Territory,Ladakh ,0.4,6.916794282797346,85.0909090909091,84,16.252518468770987,12.454545454545455,21.426731078904993,94.39999999999999
36,Union Territory,Lakshadweep,0,0,Null,Null,Null,Null,0,48.099999999999994
37,Union Territory,Puducherry,0.2,2.5568181818181817,100,91,12.422360248447205,100,44.193548387096776,83.2
,,India,0.8,12.201474612947155,96.7734458300496,105,68.05417247560247,78.03416624171341,38.864600721939254,87.6
,,Target,0,7.05,100,100,100,100,100,100
,,Data Source,"MoSPI, NSS 76th Round, Drinking Water, Sanitation, Hygiene and Housing Conditions in India","Accidental Deaths and Suicides in India,NCRB,MHA","SBM-U ,MoHUA","SBM-U ,MoHUA","SBM-U ,MoHUA","SBM-U ,MoHUA","CPCB,MoEFCC","MoSPI, NSS 76th Round, Drinking Water, Sanitation, Hygiene and Housing Conditions in India"
,,Data Period,July 2018 to December 2018,2019,November 2020,2020,November 2020,November 2020,2018,July 2018 to December 2018
