SNO,Category,States/UTs,Per capita fossil fuel consumption (in kg.),"Percentage use of nitrogenous fertilizer out of total N,P,K, (Nitrogen, Phosphorous, Potassium)","Hazardous waste generated per 1,000 population (Metric tonnes/Annum)",Quantity of hazardous waste recycled/utilized to total hazardous waste generated (%),"Plastic waste generated per 1,000 population (Tonnes/Annum)",Percentage of BMW treated to total quantity of BMW generated,Installed capacity of grid interactive bio power per 10 lakh population (MW)
1,State,Andhra Pradesh,158.4,59.57593086388023,11.27927044895449,75.99231874155497,1.2744849323493235,100,9.635734519667675
2,State,Arunachal Pradesh,179.7,0,Null,Null,2.5367515070328195,100,0
3,State,Assam,88,66.64368450082736,1.3377199424257558,20.915678524374176,0.9481499867814234,75.04804575567056,0.05748282700543213
4,State,Bihar,50.5,68.58499064513894,0.13816095256606356,28.405407058535694,0.582283302206485,28.834587178890587,1.02301160835145
5,State,Chhattisgarh,160.9,56.46047116635352,8.557503161444428,19.75494119820208,0.2107629619221582,28.559828528827037,8.376372404829498
6,State,Goa,547.1,43.63143631436315,19.11082138200782,4.338927548096602,21.238930899608867,100,0.21893110109465552
7,State,Gujarat,351.4,71.02628285356695,50.11680209153434,33.09937450593735,5.3012225374708475,100,1.117520348122768
8,State,Haryana,415,75.83818213117576,4.658145839935213,177.46341537159097,2.420170416534629,100,7.252250710300209
9,State,Himachal Pradesh,227.4,62.89231836310041,3.738167308750688,65.69987853803968,0.5052283984589984,100,1.2496604183645748
10,State,Jharkhand,103.4,70.08129188179721,13.001646557076146,2.0623993090733945,1.3888986962507086,52.55329131543141,0.11281647645284008
11,State,Karnataka,216,52.616052011980294,6.335935828877005,54.79048053109936,4.1677005347593585,100,28.397196823869105
12,State,Kerala,189.9,40.216733593707026,3.0481672999457188,32.63789305965603,3.8087021112476074,58.666385832860726,0.06418231169418684
13,State,Madhya Pradesh,110.3,63.0378649954485,3.025076407556063,67.05537702470218,0.8877685311337776,91.80039553876696,1.4655841442301953
14,State,Maharashtra,187,50.69814957872774,9.23612129400038,11.572251427511322,3.374467629395919,99.54500304399372,20.998334357514796
15,State,Manipur,88.5,52.853598014888334,Null,Null,4.0434415584415575,79.37482458602301,Null
16,State,Meghalaya,166,0,0.1521875,1.8480492813141685,0.3946875,100,4.227941176470589
17,State,Mizoram,127.2,64.23562412342217,1.6891891891891892e-05,50,0.011241554054054055,100,Null
18,State,Nagaland,77.9,0,0.00937207122774133,50,0.1256701030927835,100,Null
19,State,Odisha,141.4,60.63473904979807,20.678965471032296,62.80781526763728,2.0131991780944296,100,1.3025404157043878
20,State,Punjab,255,78.89437528055412,4.110845483012897,18.01651267937881,4.020830330987575,100,16.044269193810266
21,State,Rajasthan,166.2,70.62689386486166,8.147038855232923,99.18749739582499,1.3670406831000628,75.9755429895108,1.5424442493862025
22,State,Sikkim,207.1,0,2.2261001517450683,0,0.00858877086494689,73.35215243472123,Null
23,State,Tamil Nadu,199.9,49.224298237846455,17.262642459581237,48.734607208904386,5.315279618340843,100,13.379153701734346
24,State,Telangana,198.4,65.99772644530466,9.925168782068594,52.25057070326423,4.942334593572779,100,5.485400682011934
25,State,Tripura,64,0,0.07393388846833207,93.1740614334471,0.006611153166792834,100,Null
26,State,Uttar Pradesh,91.1,73.71885423836501,1.1192181271103976,60.404104347547374,1.1407998995529207,100,9.24846351083951
27,State,Uttarakhand,170.6,78.35349660666864,2.1710538218000903,96.33348610474563,2.812573496155586,99.12438372423924,11.510651462918766
28,State,West Bengal,96.2,50.19930958118935,1.9248082901554404,49.91224481006115,3.1112551295336788,100,3.273877137506524
29,Union Territory,Andaman and Nicobar Islands,558,46.98795180722892,0.00040404040404040404,0,4.671717171717171,100,Null
30,Union Territory,Chandigarh,412.6,0,1.5367521367521366,43.937708565072306,10.013162393162393,100,Null
31,Union Territory,Dadra and Nagar Haveli,1160.5,65.21739130434781,Null,Null,2.1170652173913043,100,Null
32,Union Territory,Daman and Diu,909.7,93.33333333333334,Null,Null,2.1170652173913043,100,Null
33,Union Territory,Delhi,291.9,89.00999091734786,2.1761668626348345,0.04933283217440331,11.492766218495987,100,2.5591810620601407
34,Union Territory,Jammu and Kashmir,119.7,62.489365322443426,0.20669965740388277,1264.4935543278084,2.6164727826417966,95.47301969707111,Null
35,Union Territory,Ladakh ,119.7,62.489365322443426,0.20669965740388277,1264.4935543278084,2.6164727826417966,95.47301969707111,Null
36,Union Territory,Lakshadweep,235,0,0.7164179104477613,0,2.208955223880597,20.872865275142317,Null
37,Union Territory,Puducherry,435.6,71.63355408388522,24.07157326130993,33.12482468443198,5.694125590817015,135.05254872910783,Null
,,India,157.3,64.39481720681492,8.087041534520754,44.890259376066545,2.536630054604793,86.91079036280202,7.621344517200663
,,Target,64.1,57,4.043520767260377,100,1.2683150273023964,100,21.81
,,Data Source,MoPNG (Sourced from MoSPI NIF PR 2020) ,"Agricultural Statistics at a Glance 2019, MoA&FW","CPCB,MoEFCC, Census 2011 population projections ","CPCB,MoEFCC","Implementation of plastic waste management rules, 2011 Census population projections ","CPCB,MoEFCC",MNRE(Physical progress Report) 
,,Data Period,2018-19,2018-19,2018-19,2018-19,2018-19,2018,As on 30.11.2020
