SNO,Category,States/UTs,Number of human lives lost per 1 crore population due to extreme weather events,Disaster preparedness score as per Disaster Resilience Index,Percentage of renewable energy out of total installed generating capacity (including allocated shares),"CO2 saved from LED bulbs per 1,000 population (Tonnes)","Disability Adjusted Life Years (DALY) rate  attributable to air pollution (per 1,00,000 population)"
1,State,Andhra Pradesh,15.567343173431734,19.5,40.725276659758514,43.867585006338814,3007
2,State,Arunachal Pradesh,221.03148024112525,11.5,84.78245091991145,34.18542615484711,1436
3,State,Assam,15.568545662838174,23,32.272020166464166,21.47245057602048,3464
4,State,Bihar,Null,19.5,7.913384875990574,16.646372124984843,4308
5,State,Chhattisgarh,2.458901222425179,14,5.94442158354317,38.32222109636235,3667
6,State,Goa,Null,13.5,1.055007438058923,67.7847533632287,1482
7,State,Gujarat,10.695346039008303,27,34.51133450612979,62.16332500891902,3102
8,State,Haryana,1.0563008344776592,19.5,23.22897417269239,55.43676530198622,3928
9,State,Himachal Pradesh,471.9317556411668,23,93.96223316504391,121.78854982446664,2318
10,State,Jharkhand,Null,7.5,9.480012883369717,37.15195279136579,3117
11,State,Karnataka,10.236822001527884,18,63.20053362845617,37.536828591048874,2871
12,State,Kerala,136.2740336542582,24.5,40.159786203534516,45.63772969018206,1698
13,State,Madhya Pradesh,3.8050349204011242,16.5,33.53120924270273,21.778093330190902,3809
14,State,Maharashtra,8.732113583379327,27.5,30.18259083536879,18.52507173658646,2816
15,State,Manipur,81.16883116883118,11,40.9250630203957,9.94672131147541,1822
16,State,Meghalaya,28.125,16.5,73.65618786255402,13.839150227617603,1798
17,State,Mizoram,Null,16.5,65.52904314292601,53.094339622641506,1585
18,State,Nagaland,56.232427366447986,10.5,53.572451727496706,52.59781619654231,1408
19,State,Odisha,22.781078304373075,22,31.403292746228573,120.07206341580591,3201
20,State,Punjab,4.713963433112226,18,37.72204675636676,10.416984607288514,3523
21,State,Rajasthan,2.2195529559222895,18.5,46.039228697451115,22.644711707635853,4528
22,State,Sikkim,45.52352048558422,16,84.83904927123646,25.44542772861357,1620
23,State,Tamil Nadu,12.854492446329182,24.5,51.59075516398297,5.968658062997686,2412
24,State,Telangana,Null,13,41.12414949927738,6.073416112890842,2710
25,State,Tripura,55.513499873832956,22.5,12.414403934114162,27.039941190884587,3598
26,State,Uttar Pradesh,4.708456836903539,16.5,25.7689551955148,11.914222456237269,4390
27,State,Uttarakhand,62.41519674355495,19.5,71.51842450371755,52.032782585890374,3300
28,State,West Bengal,27.56476683937824,19.5,17.756794749522005,9.877834867985959,3761
29,Union Territory,Andaman and Nicobar Islands,Null,20.5,46.256038647343,104.93017456359102,Null
30,Union Territory,Chandigarh,Null,24.5,69.40312829862776,48.10726072607261,Null
31,Union Territory,Dadra and Nagar Haveli,Null,17,1.0955275988683562,27.658105939004816,Null
32,Union Territory,Daman and Diu,Null,11,14.206588682676804,30.9340206185567,Null
33,Union Territory,Delhi,Null,25,12.563125895314986,67.57339516012172,1890
34,Union Territory,Jammu and Kashmir,23.60106585458698,12,73.840607864732,66.42284226190476,3029
35,Union Territory,Ladakh ,23.60106585458698,12,73.840607864732,81.40939597315436,3029
36,Union Territory,Lakshadweep,Null,9.5,100,309.38235294117646,Null
37,Union Territory,Puducherry,Null,21,2.002443299516652,40.45959595959596,Null
,,India,15.438518083449532,19.2,36.37057166154142,28.236441181913335,3469
,,Target,0,50,40,103.22,1442
,,Data Source,"MoSPI EnviStats 2020 - Disaster Management Division,2011 Population Projections","Diaster Risks and Resilience in India - An analytical Study,MHA-UNDP",CEA,"N-Ujala Dashboard D-Projected Population,Census","India:Health of the Nation's States 2017 (The India State Level Disease Burden Initiative), MoHFW-ICMR,PHFI and IHME"
,,Data Period,2018-19,2019,As on 30.11.2020,Live data as on 21.01.2021,2016
