SNO,Category,States/UTs,Forest cover as a percentage of total gerographical area,Tree cover as a percentage of total geographical area,Combined 15.1+15.2,Percentage of area covered under  afforestation schemes to the total  geographical area,Percentage of degraded land over total land area,Percentage increase in area of desertification ,Number of cases under Wildlife Protection Act (1972) per million hectares of protected area
1,State,Andhra Pradesh,17.88,2.4,20.279999999999998,1.4076935349271023,33.81495753767611,1.368329887887789,5
2,State,Arunachal Pradesh,79.63,1.01,80.64,Null,11.736634703796138,12.617971116281112,4
3,State,Assam,36.11,1.8,37.91,Null,9.452268033351181,25.231949529460078,63
4,State,Bihar,7.76,2.13,9.89,0.37290655565349445,12.655480390386883,5.3476746636665915,9
5,State,Chhattisgarh,41.13,3.14,44.27,0.19259275696786793,26.850353571217234,1.5973714245805435,Null
6,State,Goa,60.43,7.34,67.77,0.004051863857374392,11.637223122636414,3.494084458698474,101
7,State,Gujarat,7.57,3.52,11.09,0.9026925663969345,30,1.8277035223675024,7
8,State,Haryana,3.62,3.54,7.16,0.3845109924907265,8.80351488283724,7.750259867825025,90
9,State,Himachal Pradesh,27.72,1.49,29.209999999999997,0.165250660104539,22.988540225962314,11.809004159027461,6
10,State,Jharkhand,29.62,3.33,32.95,0.28512469265893925,16.555973706658637,1.4776539648108378,Null
11,State,Karnataka,20.11,3.26,23.369999999999997,0.32383167093346404,27.478896298575012,0.14489385664166957,2
12,State,Kerala,54.42,7.56,61.980000000000004,0.04949552146607639,7.658190054566045,2.4493133825625084,12
13,State,Madhya Pradesh,25.14,2.71,27.85,Null,19.17081478790081,0.860637994110587,20
14,State,Maharashtra,16.5,3.51,20.009999999999998,0.12151907784201511,35.72454202454885,3.575887036577009,40
15,State,Manipur,75.46,0.77,76.22999999999999,0.2885295830160792,38.29435212970843,1.4948751713474953,44
16,State,Meghalaya,76.33,3.17,79.5,0.12229702617147443,28.37785902180213,3.3529995300997233,40
17,State,Mizoram,85.41,2.09,87.5,0.19069304112708127,34.92106636307575,95.52220124539755,8
18,State,Nagaland,75.31,2.19,77.5,Null,47.05464744556366,22.4775184336389,Null
19,State,Odisha,33.15,2.98,36.129999999999995,2.455663521871207,38.32272794415152,-0.3342601321369443,4
20,State,Punjab,3.67,3.16,6.83,0.13591596838886463,3.1502918867400025,55.34876228319819,26
21,State,Rajasthan,4.86,2.37,7.23,0.12819403983765731,52.6943627114385,-0.4582161034669829,7
22,State,Sikkim,47.1,0.51,47.61,0.051437429537767754,10.751127395715896,0.340205397415968,Null
23,State,Tamil Nadu,20.27,3.71,23.98,0.2548592957096725,18.764731662309703,1.7959199820658553,42
24,State,Telangana,18.36,2.24,20.6,4.369076616968691,28.849995984903238,-1.629801649973951,5
25,State,Tripura,73.68,2.2,75.88000000000001,0.46328437917222964,9.796109097844745,33.554943141196816,33
26,State,Uttar Pradesh,6.15,3.05,9.2,0.2138107650418382,11,-16.687853457515352,19
27,State,Uttarakhand,45.44,1.57,47.01,0.4000710506142139,17.679131686704185,11.529124752039172,63
28,State,West Bengal,19.04,2.26,21.299999999999997,0.12003109789075175,5.560888768703804,3.0763633639899632,115
29,Union Territory,Andaman and Nicobar Islands,81.74,0.5,82.24,0.08643471935992242,6.416292883985937,Null,13
30,Union Territory,Chandigarh,19.32,22.34,41.66,1.5438596491228072,0.5,Null,Null
31,Union Territory,Dadra and Nagar Haveli,42.16,5.75,47.91,0.40733197556008144,11.873727087576375,Null,Null
32,Union Territory,Daman and Diu,18.46,4.87,23.330000000000002,0.13513513513513514,7.8108108108108105,Null,Null
33,Union Territory,Delhi,13.18,8.73,21.91,Null,4.921105866486851,22.246102783143346,Null
34,Union Territory,Jammu and Kashmir,39.66,3.57,43.23,0.05116632768768336,46.22490505588653,5.714333846146092,Null
35,Union Territory,Ladakh ,1.47,Null,1.47,0.05116632768768336,46.22490505588653,5.714333846146092,Null
36,Union Territory,Lakshadweep,90.33,0.97,91.3,0,1.4000000000000001,Null,Null
37,Union Territory,Puducherry,10.7,4.66,15.36,0.12857142857142856,3.3653061224489793,Null,Null
,,India,21.67,2.89,24.560000000000002,0.5136191398306722,27.77,1.98,15
,,Target,,,33,2.74,5.46,0,0
,,Data Source,Forest Survey of India 2019,Forest Survey of India 2019,,MoSPI EnviStats 2020,National Remote Sensing Centre (Sourced from EnviStats 2020),"MoEFCC, Desertification and Land Degradation Atlas of India – Space Applications Centre, Indian Space Research Organisation","WCCB,MoEFCC"
,,Data Period,2019,2019,,2017-18,2015-16,2011-13,2019
