SNO,Category,States/UTs,"Murders per 1,00,000 population","Cognizable crimes against children per 1,00,000 population",Number of victims of human trafficking per 10 lakh population,"Number of missing children per 1,00,000 child population ","No. of courts per 1,00,000 population",Cases  under Prevention of Corruption Act and related sections of IPC per 10 lakh population ,Percentage of births registered ,Percentage of population covered under Aadhaar 
1,State,Andhra Pradesh,1.7,16.1,7.626146788990825,17.523931078493938,1.2117737003058102,2.35091743119266,90.2,100
2,State,Arunachal Pradesh,4,32.7,2.6490066225165565,9.361702127659575,2.7152317880794703,8.609271523178808,100,83
3,State,Assam,3.6,55.6,7.205113306217315,11.85870479394449,1.3509587449157467,0.5229517722254504,100,45
4,State,Bihar,2.6,20.8,2.6309216551494465,16.299687360428763,1.5818832736658064,0.5911248022645909,80.3,86
5,State,Chhattisgarh,3.2,56.4,11.7157712305026,31.27363184079602,1.6984402079722705,0.658578856152513,95.3,98
6,State,Goa,2.1,32.1,58.441558441558435,5.961538461538462,3.2467532467532467,5.844155844155844,79.1,107
7,State,Gujarat,1.5,22.7,0.32234432234432236,6.958413926499032,2.2827838827838827,3.7362637362637363,92,100
8,State,Haryana,3.9,55.2,0.6942034015966678,30.334051724137932,2.974661575841721,3.0892051371051714,94,109
9,State,Himachal Pradesh,1,34.6,2.322404371584699,18.194444444444443,2.5683060109289615,8.469945355191257,85.6,108
10,State,Jharkhand,4.3,12.7,6.359765832889835,2.7072243346007605,1.868014901543374,2.048962213943587,85.6,96
11,State,Karnataka,2,32.2,2.819463392451114,4.262378764675855,2.132787630741246,5.745035622252539,94,97
12,State,Kerala,0.9,50.9,6.1949417448138675,23.37259100642398,1.6567206592782042,2.6143790849673203,97.2,108
13,State,Madhya Pradesh,2.2,63.3,2.602590485413388,36.64228723404255,2.510591938022031,3.849412904006779,75.2,94
14,State,Maharashtra,1.7,51.8,8.047008895780625,12.052840158520475,1.8632171713049865,7.271688566065454,90,98
15,State,Manipur,1.8,15.4,60.77170418006431,11.666666666666668,1.9292604501607715,1.9292604501607715,100,85
16,State,Meghalaya,2.1,37.8,9.597523219814242,10.4,3.126934984520124,1.5479876160990713,100,41
17,State,Mizoram,1.8,33.7,45,0,5.333333333333333,1.6666666666666665,100,94
18,State,Nagaland,1.2,8.8,9.259259259259258,5.522388059701492,1.5277777777777777,0.4629629629629629,100,61
19,State,Odisha,3.1,49.9,20.032014635261834,22.44301994301994,2.163274639835353,8.072261605305282,86,97
20,State,Punjab,2.3,29.9,0.6346025384101537,10.193842645381984,2.5384101536406147,5.644622578490315,91.7,107
21,State,Rajasthan,2.1,25.9,8.556701030927835,12.806587245970569,1.9046391752577319,5.463917525773195,96.6,92
22,State,Sikkim,2.6,80.3,2.9850746268656714,19,4.17910447761194,0,65.2,91
23,State,Tamil Nadu,2.3,20.5,1.0156971375807942,22.371287128712872,1.7134942619707163,5.513784461152882,88.8,97
24,State,Telangana,2.3,37.7,8.959227467811159,29.615040286481648,1.1722103004291846,4.747854077253218,100,103
25,State,Tripura,3.6,25.1,0.5,13.629032258064516,3.1,1.5,100,94
26,State,Uttar Pradesh,1.7,21.4,0.6062751692702572,3.59449085572364,1.5825109527813428,0.5929990706730982,80.1,90
27,State,Uttarakhand,1.8,31.5,3.220035778175313,14,2.7280858676207513,1.1627906976744187,100,102
28,State,West Bengal,2,21.4,2.6979713726701675,27.936670071501535,1.1183194315724436,0.09267840593141798,100,96
29,Union Territory,Andaman and Nicobar Islands,3.3,112.5,0,30.714285714285715,0,7.5,71.8,98
30,Union Territory,Chandigarh,2.2,66,0,50.5,2.542372881355932,4.23728813559322,100,108
31,Union Territory,Dadra and Nagar Haveli,1.3,41.7,0,2.3076923076923075,0.5357142857142857,0,90,106
32,Union Territory,Daman and Diu,1.4,47.3,0,18.88888888888889,0.9523809523809523,2.380952380952381,56.7,103
33,Union Territory,Delhi,2.6,139,30.491474423269807,113.48214285714286,4.307923771313941,0.9027081243731193,100,125
34,Union Territory,Jammu and Kashmir,0.9,10.5,0,6.155555555555556,2.269031781226903,6.06060606060606,78.5,82
35,Union Territory,Ladakh ,0.9,10.5,0,6.155555555555556,2.269031781226903,6.06060606060606,78.5,82
36,Union Territory,Lakshadweep,0,144.4,0,0,4.285714285714286,0,64.6,103
37,Union Territory,Puducherry,1.9,10.8,0,10.212765957446807,1.7105263157894737,0.6578947368421052,100,98
,,India,2.2,33.2,4.946135271117889,16.40601166442351,1.8473247060054874,3.1720755676168686,89.3,93.24
,,Target,1,0,0,0,4.25,0.19,100,100
,,Data Source,"MHA, NCRB, Crime in India 2019 ","MHA, NCRB, Crime in India 2019 ","MHA, NCRB, Crime in India 2019 ","MHA, NCRB, Crime in India 2019 ","MoLJ,Census 2011 Population Projections","MHA, NCRB, Crime in India 2019 ","MHA, ORGI, Vital Statistics of India based on the Civil Registration System 2018",Unique Identification Authority of India
,,Data Period,2019,2019,2019,2019,2019-12-01 00:00:00,2019,2018,2021-01-01 00:00:00
