SNO,Category,States/UTs,"Rate of crimes against women per 1,00,000 female population",Sex ratio at birth,Ratio of female to male  average wage/salary earnings received among regular wage/salaried employees ,Per lakh women who have experienced cruelty/physical violence by husband or his relatives during the year,Percentage of elected women over total seats in the state legislative assembly,Ratio of female to male Labour Force Participation Rate (LFPR) (15-59 years),"Proportion of women in managerial positions including women in board of directors, in listed companies (per 1,000 persons)",Percentage of currently married women aged 15-49 years who have their demand for family planning satisfied by modern methods,Operational land holding gender wise (percentage of female operated operational holdings)
1,State,Andhra Pradesh,67.9,920,0.71,30.420811017597554,8,0.55,208,93.6,30.086439204543453
2,State,Arunachal Pradesh,43.3,Null,0.56,7.397260273972603,5,0.26,Null,50,12.072969369464827
3,State,Assam,177.8,925,0.53,70.72824156305506,6.349206349206349,0.17,221,55.6,1.6680459756699375
4,State,Bihar,32.3,895,0.75,4.583477959041999,11.522633744855968,0.06,214,51.4,13.996112690188134
5,State,Chhattisgarh,53.5,958,0.64,5.090403337969401,14.444444444444443,0.64,250,79.3,13.79135986787581
6,State,Goa,43.1,Null,0.78,1.1842105263157896,5,0.44,197,56.5,25.68968523262208
7,State,Gujarat,27.1,866,0.81,11.169590643274855,7.55813953488372,0.28,190,67.4,16.489206345268396
8,State,Haryana,108.5,843,0.85,36.045824094604576,10,0.21,236,81.3,14.759753442075166
9,State,Himachal Pradesh,45.4,930,0.8,6.3988919667590025,7.352941176470589,0.8,222,71.7,7.433620683601372
10,State,Jharkhand,47.8,923,0.58,8.177850518276049,12.345679012345679,0.28,229,63.8,11.265682606800132
11,State,Karnataka,42.5,924,0.75,7.702245462934481,3.1390134529147984,0.34,209,82.5,20.074097378114928
12,State,Kerala,62.7,957,0.84,17.681793329688354,5.714285714285714,0.45,241,75.3,22.97722580720027
13,State,Madhya Pradesh,69,925,0.74,14.351851851851851,9.130434782608695,0.36,227,78,11.882484841002345
14,State,Maharashtra,63.1,880,0.75,14.565845369583688,8.333333333333332,0.44,196,84,15.463775688745349
15,State,Manipur,17.2,Null,0.76,0.967741935483871,3.3333333333333335,0.36,Null,23.6,6.796071343132824
16,State,Meghalaya,34.6,Null,0.73,1.4285714285714284,5.084745762711865,0.69,111,48.1,34.32359281746322
17,State,Mizoram,28.7,Null,0.91,1.0169491525423728,0,0.42,Null,63.8,11.777352017287857
18,State,Nagaland,4.1,Null,0.86,0,0,0.31,167,43.5,9.850304276148414
19,State,Odisha,103.5,933,0.65,12.791424743188923,8.904109589041095,0.32,206,64.1,4.063770975266397
20,State,Punjab,41.5,890,0.67,11.395348837209301,5.128205128205128,0.26,190,80.9,1.5486225568836465
21,State,Rajasthan,110.4,871,0.79,49.03028692879915,12,0.43,181,74.3,10.123799809160904
22,State,Sikkim,39.8,Null,0.88,0.3225806451612903,9.375,0.68,Null,67.1,6.290890790135883
23,State,Tamil Nadu,15.6,908,0.73,2.0595991561181437,8.51063829787234,0.49,185,83,19.650509130383462
24,State,Telangana,99.3,901,0.68,46.09821910415542,5.042016806722689,0.52,128,88.2,22.995257858663845
25,State,Tripura,54.5,Null,0.72,22.944162436548226,5,0.23,Null,57.2,12.29950069261018
26,State,Uttar Pradesh,55.4,880,0.94,17.220270020343996,10.606060606060606,0.19,243,49.9,7.6548766089634945
27,State,Uttarakhand,46.5,840,0.71,11.794871794871794,8.450704225352112,0.29,234,71.6,11.92822008271824
28,State,West Bengal,64,941,0.53,36.125500105285326,13.60544217687075,0.28,166,72.7,3.1689285203428765
29,Union Territory,Andaman and Nicobar Islands,72.2,Null,0.95,0.5263157894736842,Null,0.39,Null,73,29.797557302994814
30,Union Territory,Chandigarh,95.2,Null,0.96,32.77777777777778,Null,0.35,274,72.5,10.828877005347595
31,Union Territory,Dadra and Nagar Haveli,21.6,Null,0.64,1.3043478260869565,Null,0.5,184,66,20.75371549893843
32,Union Territory,Daman and Diu,25.2,Null,0.56,3.0769230769230766,Null,0.22,156,60.8,18.924650698602793
33,Union Territory,Delhi,144,844,0.75,40.76262083780881,11.428571428571429,0.25,188,69.5,13.650321466270032
34,Union Territory,Jammu and Kashmir,47.8,927,0.78,5.420560747663552,2.2988505747126435,0.45,100,66.3,7.601928402855189
35,Union Territory,Ladakh ,47.8,927,0.78,5.420560747663552,2.2988505747126435,0.45,100,66.3,7.601928402855189
36,Union Territory,Lakshadweep,115.2,Null,0.98,0,Null,0.25,Null,33.6,41.03024857741839
37,Union Territory,Puducherry,12.1,Null,0.75,1.0126582278481011,13.333333333333334,0.41,615,87.1,22.80141843971631
,,India,62.4,899,0.74,19.542072739570205,8.461350890026823,0.33,190,72,13.956043635648745
,,Target,0,950,1,0,50,1,245,100,50
,,Data Source,"MHA, NCRB, Crime in India 2019",SRS Statistical Report 2018,"MoSPI, PLFS 2018-19 ","MHA, NCRB, Crime in India 2019",Election Commission of India,"MoSPI, PLFS 2018-19",Ministry of Corporate Affairs (Sourced from MoSPI NIF Progress Report 2020),NFHS-4,Ministry of Agriculture and Farmers Welfare [Agriculture Census – 2015-16]
,,Data Period,2019,2016-18,July 2018-June 2019,2019,2019,2018-19,2018-19 ,2015-16,2015-16
