SNO,Category,States/UTs,Percentage of rural population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),Percentage of rural population having improved source of drinking water,Percentage of individual household toilets constructed against target (SBM(G)),Percentage of districts verified to be ODF (SBM(G)),Percentage of schools with separate toilet facility for girls,Percentage of industries (17 category of highly polluting industries/ grossly polluting/ red category of industries) complying with waste water treatment as per CPCB norms,Percentage of ground water withdrawal against availability,Percentage of blocks/mandals/taluka over-exploited
1,State,Andhra Pradesh,68.51832433282652,99.81125150736644,100,100,97.28,96.81697612732096,44.16873449131514,6.7164179104477615
2,State,Arunachal Pradesh,34.12509897070466,92.63657957244655,100,100,70.12,70.89337175792507,0.37453183520599254,0
3,State,Assam,25.699993707921724,74.72472157553639,100,100,75.3,90.0172117039587,11.253091508656224,0
4,State,Bihar,65.18744321012984,96.28630887827183,100,100,97.92,96.84418145956607,45.73991031390135,2.247191011235955
5,State,Chhattisgarh,52.17142038125269,99.59868138168267,100,100,99.15,90.05481597494128,44.46546830652791,0
6,State,Goa,100,100,100,100,100,99.21259842519686,31.25,0
7,State,Gujarat,97.5705186533212,100,100,100,99.87410511283564,80.60001056356626,63.90588235294118,10.080645161290322
8,State,Haryana,97.40687836501483,99.7143171080101,100,100,98.49360658609214,96.85592185592185,136.91128148959473,60.9375
9,State,Himachal Pradesh,76.57142857142857,100,100,100,97.86543434010012,98.92183288409704,84.78260869565217,50
10,State,Jharkhand,35.4947266167083,99.70510685539828,100,100,98.32573632538569,79.14905607213299,27.768014059753952,1.153846153846154
11,State,Karnataka,59.46817847569798,100,100,100,95.64405885154531,87.70870337477797,69.91210277214334,25.568181818181817
12,State,Kerala,35.291457985531444,99.35308848080133,100,100,99.28403826484568,99.22193975810801,51.24760076775432,0.6578947368421052
13,State,Madhya Pradesh,47.95420888866703,99.64891262749796,100,100,98.50493915914477,91.1222597884175,54.77226573832318,7.0287539936102235
14,State,Maharashtra,64.38749832487083,99.70219925847616,100,100,96.80096962573916,92.35783772941531,54.61538461538461,3.1161473087818696
15,State,Manipur,69.55445544554456,100,100,100,77.83750258424644,100,2.564102564102564,0
16,State,Meghalaya,23.486682808716708,100,100,100,67.97706797706797,99.37888198757764,2.4390243902439024,0
17,State,Mizoram,46.16588419405321,100,100,100,85.48057259713701,97.14285714285714,5.263157894736842,0
18,State,Nagaland,40.14263881813551,100,100,100,90.33078880407125,100,1.0101010101010102,0
19,State,Odisha,51.73259235044132,98.13119755911518,100,100,98.0398443534401,83.16326530612244,42.19653179190752,0
20,State,Punjab,80.6811413720288,92.40890140234988,100,100,98.06426635694929,94.108457933497,165.80166821130678,78.98550724637681
21,State,Rajasthan,35.24598762194482,92.27595370467499,100,100,90.44058492262553,65.79211229946524,139.86655546288574,62.71186440677966
22,State,Sikkim,37.423312883435585,100,100,100,99.33829611248966,96.7741935483871,0.06,0
23,State,Tamil Nadu,73.05486257702722,99.39444337832363,100,100,98.3945150204319,98.23253577010942,80.93406593406594,39.62264150943396
24,State,Telangana,99.99518675394687,100,100,100,96.23259819164713,98.22259839187474,65.40016168148746,11.986301369863012
25,State,Tripura,63.054046325421794,84.84415213039749,100,100,88.1768403974853,100,8.06451612903226,0
26,State,Uttar Pradesh,20.34859364766552,99.62768687935521,100,100,95.50808471204304,96.26806833114323,70.17758726270668,10.963855421686747
27,State,Uttarakhand,52.45877928840035,99.2623662134799,100,100,95.36293766011956,78.38660578386606,56.74740484429065,0
28,State,West Bengal,39.74674779968843,95.47820992503628,100,100,98.83997435950457,74.07407407407408,44.57831325301205,0
29,Union Territory,Andaman and Nicobar Islands,88.8888888888889,100,100,100,99.28,60,3.0303030303030303,0
30,Union Territory,Chandigarh,Null,Null,100,100,100,98.4536082474227,75,0
31,Union Territory,Dadra and Nagar Haveli,Null,Null,100,100,94.79768786127168,Null,28.57142857142857,0
32,Union Territory,Daman and Diu,Null,Null,100,100,100,78.26086956521739,50,0
33,Union Territory,Delhi,Null,Null,100,100,100,53.44036697247706,120,64.70588235294117
34,Union Territory,Jammu and Kashmir,52.869453612027876,99.8899889988999,100,100,89.02087222127949,97.31404958677686,29.230769230769234,0
35,Union Territory,Ladakh ,29.803921568627455,100,100,100,89.02087222127949,97.31404958677686,29.230769230769234,0
36,Union Territory,Lakshadweep,Null,Null,100,100,100,Null,50,0
37,Union Territory,Puducherry,95.16994633273704,95.88550983899822,100,100,98.74125874125875,95.34883720930233,74.99999999999999,25
,,India,51.363526098741744,97.4422283864027,100,100,95.33050377000002,88.39795881697631,63.328240387063914,17.23586687981398
,,Target,100,100,100,100,100,100,70,0
,,Data Source,"Department of Drinking Water and Sanitation,MoJS","Department of Drinking Water and Sanitation,MoJS",SBM(G),SBM(G),MoE,"CPCB,MoEFCC",Central Ground Water Board,Central Ground Water Board
,,Data Period,As on 20.01.2021,As on 20.01.2021,2020,2020,2018-19,2019,2017,2017
