SNO,Category,States/UTs,Annual growth rate of GDP (constant prices) per capita,Ease of Doing Business (EODB) Score (feedback score),Unemployment rate (%) (15-59 years),Labour Force Participation Rate (LFPR) (%) (15-59 years) ,Percentage of regular wage/ salaried employees in non-agriculture sector without any social security benefit,Percentage of households covered with a bank account under PMJDY against target,"Number of functioning branches of commercial banks per 1,00,000 population","Automated Teller Machines (ATMs) per 1,00,000 population",Percentage of women account holders in PMJDY 
1,State,Andhra Pradesh,3.838029789460479,52.4,5.7,63.5,62.5,100,14.397612121903457,21.008003954447805,59.31
2,State,Arunachal Pradesh,2.51618076524033,0,7.7,44.8,17.3,100,11.826544021024967,16.360052562417874,55.05
3,State,Assam,5.2553251317486,5.93,7.1,49.4,44.8,99.96000000000001,8.892593337740351,11.600034489696204,59.26
4,State,Bihar,7.628638842015101,2.78,10.6,41.4,23.7,100,6.3726978136921115,6.8419541408589355,56.22
5,State,Chhattisgarh,5.364694938367235,28.71,2.6,66.6,50.7,99.98,10.059171597633137,12.501282621335978,55.65
6,State,Goa,13.793486920240655,3.33,9.4,57.8,23.8,100,45.782356728911786,63.55441081777205,44.19
7,State,Gujarat,7.688970629584259,20.19,3.4,54.9,50.8,100,12.985210565121221,17.530467970681354,50.25
8,State,Haryana,5.98698510947653,13.24,9.8,50.4,56.1,100,18.385650224215247,23.61962140143087,49.76
9,State,Himachal Pradesh,6.4123811665795145,28.49,5.8,72.1,39.1,100,23.431132844335778,25.52295571855474,51.96
10,State,Jharkhand,5.3030929992627165,29.54,5.5,50.5,60.5,100,8.589794044339499,9.547422274695002,55.74
11,State,Karnataka,6.593059061319869,7.82,3.9,56.6,38.5,99.97,16.68521414821944,26.732435033686237,55.57
12,State,Kerala,6.9252495884400345,1.11,10.4,55,54.4,100,19.596810676317574,27.985749830355125,58.83
13,State,Madhya Pradesh,4.295953716111978,43.44,3.7,56.9,61.5,100,8.924840308041311,12.54372873261298,53.08
14,State,Maharashtra,4.997392602800589,17.5,5.4,58.2,43.3,100,11.3918626087519,22.304246579772954,54.08
15,State,Manipur,0.7358964078363367,0,10.1,51.5,15.9,99.76,7.001909611712286,11.425843411839592,55.87
16,State,Meghalaya,7.063500531360529,0,2.8,65.2,42.5,100,11.73406862745098,12.5,58.38
17,State,Mizoram,0.9719314921539706,2.99,7.3,52,11.4,99.92,17.72990886495443,14.498757249378626,51.19
18,State,Nagaland,5.92966539077895,0,18.5,47.8,17.1,99.92,8.865411116214975,14.331649058337161,54.75
19,State,Odisha,5.493507353745882,0,7.6,55.2,54.3,99.85000000000001,11.916859122401847,15.719784449576597,55.48
20,State,Punjab,4.6079659137882185,7.61,8,51.9,70.3,100,22.939792570993074,24.394446469399252,52.32
21,State,Rajasthan,5.450137530254205,25.92,6.2,56.6,65.2,99.99,10.211298960678802,14.162500477044611,59.85
22,State,Sikkim,4.971977485211661,0,3.3,66.1,36.2,100,24.55357142857143,28.720238095238095,50.93
23,State,Tamil Nadu,7.446790439791541,13.61,7.2,60.4,45.5,100,16.066012840206387,35.47336773143225,58.53
24,State,Telangana,8.448036725258682,48.6,8.8,60.2,62.2,100,15.078857630008525,28.93488917306053,57.45
25,State,Tripura,8.838586356755133,0,10.5,50.8,33.2,100,14.596734289955467,14.646214745175657,50.99
26,State,Uttar Pradesh,3.7446207766416646,50.09,6.2,44.4,59.4,100,8.066185881335425,9.610756079342684,54.74
27,State,Uttarakhand,5.456049478909888,19.72,9.5,48.6,40.3,100,20.01237514364006,24.635375232033944,53.06
28,State,West Bengal,5.356528045215286,22.85,4.1,54.9,59.2,100,9.745290066414924,12.628045722940268,55.17
29,Union Territory,Andaman and Nicobar Islands,Null,4.64,13.8,62.5,59.3,100,18.79699248120301,29.824561403508774,47.94
30,Union Territory,Chandigarh,6.108154962639952,0,7.8,54.9,47.7,100,39.39899833055092,61.76961602671118,46.42
31,Union Territory,Dadra and Nagar Haveli,Null,3.37,1.5,69.9,22.4,100,10.886319845857418,33.56047700170358,38.99
32,Union Territory,Daman and Diu,Null,7.74,0,59.2,39.1,100,10.886319845857418,20.84257206208426,30.83
33,Union Territory,Delhi,5.631509770890957,19.17,10.7,53.5,59.9,100,19.262758994044983,41.1043850583198,47.07
34,Union Territory,Jammu and Kashmir,4.495837052395791,5,5.6,58.5,44.4,99.71,13.733133433283358,19.41529235382309,54.26
35,Union Territory,Ladakh ,4.495837052395791,5,5.6,58.5,44.4,99.71,24.66216216216216,51.689189189189186,57.87
36,Union Territory,Lakshadweep,Null,13.33,32,50.1,14,100,20.58823529411765,97.05882352941177,52.65
37,Union Territory,Puducherry,5.831706381008017,2.22,8.7,58,37.1,100,17.88250484183344,39.83214977404777,57.07
,,India,5.1,71,6.2,53.6,51.9,99.98910983,11.693850498530344,17.308098698220306,55.34
,,Target,7,50,3,68.3,0,100,31.26,42.65,50
,,Data Source,MoSPI GSVA / NSVA database ,"DPIIT, MoCI ","MoSPI,PLFS","MoSPI,PLFS","MoSPI,PLFS","MoF, PMJDY - Statewise House Hold Report",RBI,RBI,"MoF, DFS"
,,Data Period,2018-19,2019,2018-19,2018-19,2018-19,2020,as in September 2020,as in September 2020,30/12/2020
