SNO,Category,States/UTs,Percentage of targeted habitations connected by all-weather roads under Pradhan Mantri Gram Sadak Yojana (PMGSY),Percentage Share of GVA in manufacturing to total GVA (current prices),Manufacturing employment as a percentage of total employment,Innovation score as per the India Innovation Index,Score as per Logistics Ease Across Different States (LEADS) report,Number of mobile connections per 100 persons  (mobile tele density),Number of internet subscribers per 100 population
1,State,Andhra Pradesh,98.46029173419774,9.580830638041318,10.6,24.19,3.42,85.71,65.61
2,State,Arunachal Pradesh,81.74726989079562,3.2009416204637153,2.05,14.9,2.77,84,52.34
3,State,Assam,94.37695497199388,12.25241666848733,10.55,16.38,3,67.51,41.57
4,State,Bihar,97.1821625573204,7.21331516041765,5.3,14.48,2.85,50.65,30.99
5,State,Chhattisgarh,97.15488907148726,12.601463386769279,5.46,15.77,3.01,67.99,44.24
6,State,Goa,100,42.49716077730514,16.39,24.92,2.78,177.45,74.72
7,State,Gujarat,100,36.74268244516669,20.84,23.63,3.62,94.71,64.79
8,State,Haryana,100,20.222077253381915,17.6,25.81,3.37,112.77,59.33
9,State,Himachal Pradesh,91.88767550702028,29.787090681105987,6.48,25.06,2.72,145.83,82.63
10,State,Jharkhand,99.86401673640167,20.021253202119325,7.68,17.12,2.88,57.55,30.99
11,State,Karnataka,100,15.87864158805826,11.74,42.5,3.37,100.28,69.35
12,State,Kerala,99.5049504950495,10.762162452370143,11.77,30.58,3.16,123.01,77.47
13,State,Madhya Pradesh,99.69193907239432,8.8483060523426,6.84,20.82,3.21,65.29,44.24
14,State,Maharashtra,99.03489235337788,19.380427732401568,11.24,38.03,3.42,101.07,74.72
15,State,Manipur,89.2638036809816,2.424615854875458,12.11,22.78,2.42,72.97,52.34
16,State,Meghalaya,63.18407960199005,8.883794623789846,1.27,12.15,2.56,70.23,52.34
17,State,Mizoram,67.24137931034483,0.6444011346352114,5.34,16.93,2.31,109.73,52.34
18,State,Nagaland,87.1559633027523,1.3685383995322897,8.11,14.11,2.28,74.27,52.34
19,State,Odisha,98.5125260960334,19.61483183808442,8.15,18.94,3.18,75.09,44.87
20,State,Punjab,100,13.782351521532613,19.39,22.54,3.46,122.19,84.32
21,State,Rajasthan,100.00625625625625,10.388855863350654,7.5,20.83,3.16,81.89,53.79
22,State,Sikkim,93.71428571428572,45.4262371468483,3.31,20.28,2.9,99.44,51.74
23,State,Tamil Nadu,100,20.575275113699032,18.74,37.91,3.4,101.75,65.68
24,State,Telangana,99.66386554621849,11.535723148838937,12.86,33.23,3.22,109.9,65.61
25,State,Tripura,95.86653386454184,3.3054433080818804,6.38,12.84,2.95,75.78,52.34
26,State,Uttar Pradesh,99.99148863733083,14.539031396649452,10.51,22.85,3.08,67.62,38.73
27,State,Uttarakhand,84.66880341880342,37.521607565436646,12.81,23.5,2.85,113.58,38.73
28,State,West Bengal,99.12587412587412,12.341708184927537,18.66,21.69,2.99,80.99,51.74
29,Union Territory,Andaman and Nicobar Islands,0,1.089260715514547,7.19,18.89,Null,87.87,Null
30,Union Territory,Chandigarh,Null,3.2356487391492825,8.47,38.57,3.45,136.42,Null
31,Union Territory,Dadra and Nagar Haveli,Null,Null,59.3,22.74,3.23,70.02,Null
32,Union Territory,Daman and Diu,Null,Null,62.57,26.76,3.16,70.02,Null
33,Union Territory,Delhi,Null,5.198887037602035,22.99,46.6,3.36,190.61,199.88
34,Union Territory,Jammu and Kashmir,89.19925512104282,8.09140898142132,9.1,18.62,2.87,85.02,55.23
35,Union Territory,Ladakh ,98.46153846153847,8.09140898142132,9.1,18.62,2.87,153.2,55.23
36,Union Territory,Lakshadweep,Null,Null,4.79,11.71,Null,124.28,Null
37,Union Territory,Puducherry,Null,29.648190077037544,20.85,25.23,3.28,72.97,Null
,,India,97.65192317463544,16.1,12.07,35.59,3.18,84.38,55.41
,,Target,100,25,20,100,5,100,100
,,Data Source,"PMGSY,Ministry of Rural Development",MoSPI GSVA / NSVA database ,PLFS 2018-19,India Innovation Index,LEADS Report 2019,Dept.of Telecommunications,Dept.of Telecommunications
,,Data Period,Cumulative Progress till 2020,2018-19,2018-19,2020,2019,As on 30.06.2020,As on 30.06.2020
